person_id,entry_time,exit_time,section_A_in,section_A_out,section_B_in,section_B_out,section_C_in,section_C_out,gender,age,,total_time,A_time,B_time,C_time
,,,,,,,,,,,,,,,
1,0:59:21,,,,,,0:59:47,1:02:35,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:02:48
2,0:59:22,1:03:27,,,,,,,female,40-59,,0:04:05,0:00:00,0:00:00,0:00:00
3,0:59:22,1:01:31,,,,,,,male,20-39,,0:02:08,0:00:00,0:00:00,0:00:00
4,0:59:23,,,,,,1:04:29,1:04:29,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:01
5,0:59:23,,,,1:03:58,,1:02:45,1:02:46,male,20-39,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:01
6,0:59:24,1:02:05,,,0:59:41,1:00:16,,,male,60+,,0:02:41,0:00:00,0:00:35,0:00:00
7,0:59:24,,,,,,1:04:23,,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8,0:59:25,,,,,,,,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
9,0:59:25,1:03:15,0:59:41,1:01:23,,,,,female,60+,,0:03:49,0:01:42,0:00:00,0:00:00
10,0:59:26,1:02:10,,,0:59:41,1:00:08,,,male,60+,,0:02:44,0:00:00,0:00:27,0:00:00
11,0:59:26,,,,0:59:41,,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
12,0:59:27,,1:01:25,1:02:09,,,1:04:37,1:04:39,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:43,0:00:00,0:00:02
13,0:59:28,1:04:43,,,,,,,male,60+,,0:05:15,0:00:00,0:00:00,0:00:00
14,0:59:28,,,,,,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
15,0:59:29,,0:59:41,,,,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00
16,0:59:29,,,,1:01:40,1:03:28,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:01:48,0:00:00
17,0:59:30,1:02:01,,,,,1:00:47,1:00:44,female,20-39,,0:02:31,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
18,0:59:30,,,,1:03:58,,1:00:35,1:00:41,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:06
19,0:59:31,,,,0:59:41,,,,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
20,0:59:31,,0:59:41,1:00:46,1:04:44,1:04:44,1:01:27,,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:01:06,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
21,0:59:32,1:03:21,,,,,,,male,60+,,0:03:49,0:00:00,0:00:00,0:00:00
22,0:59:32,1:03:25,,,,,1:02:34,1:02:41,male,20-39,,0:03:53,0:00:00,0:00:00,0:00:08
23,0:59:33,,,,,,,,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
24,0:59:33,,,,,,1:00:40,1:01:25,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:45
25,0:59:34,1:03:58,,,0:59:41,,,,male,60+,,0:04:25,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
26,0:59:34,1:01:08,,,,,,,male,60+,,0:01:34,0:00:00,0:00:00,0:00:00
27,0:59:35,1:02:13,,,,,,,female,60+,,0:02:38,0:00:00,0:00:00,0:00:00
28,0:59:35,1:02:11,,,,,,,male,60+,,0:02:36,0:00:00,0:00:00,0:00:00
29,0:59:36,,,,,,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
30,0:59:36,,,,,,,,male,40-59,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
31,0:59:37,1:00:47,0:59:41,,,,,,male,60+,,0:01:11,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00
32,0:59:37,1:03:07,,,,,,,female,60+,,0:03:29,0:00:00,0:00:00,0:00:00
33,0:59:38,1:00:47,,,,,0:59:41,,male,60+,,0:01:10,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
34,0:59:38,1:00:09,,,,,,,male,20-39,,0:00:31,0:00:00,0:00:00,0:00:00
35,0:59:39,1:00:18,,,,,,,male,60+,,0:00:39,0:00:00,0:00:00,0:00:00
36,0:59:39,1:02:42,0:59:41,1:01:17,,,,,male,20-39,,0:03:03,0:01:37,0:00:00,0:00:00
37,0:59:40,1:01:02,,,,,,,female,60+,,0:01:22,0:00:00,0:00:00,0:00:00
38,0:59:40,1:00:08,,,,,,,female,60+,,0:00:28,0:00:00,0:00:00,0:00:00
40,0:59:41,1:00:56,,,0:59:41,,,,male,20-39,,0:01:16,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
43,0:59:42,1:02:13,,,,,,,male,20-39,,0:02:32,0:00:00,0:00:00,0:00:00
44,0:59:42,1:01:31,1:01:06,,,,0:59:42,1:00:00,male,60+,,0:01:49,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:18
46,0:59:44,1:00:51,,,,,,,male,60+,,0:01:08,0:00:00,0:00:00,0:00:00
47,0:59:46,1:00:46,0:59:46,1:00:21,,,,,male,60+,,0:01:00,0:00:35,0:00:00,0:00:00
48,0:59:47,1:01:27,,,,,,,male,20-39,,0:01:41,0:00:00,0:00:00,0:00:00
51,0:59:48,,,1:02:01,,,0:59:48,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,1:02:01,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
52,0:59:49,1:02:54,1:00:41,,,1:02:21,,,female,60+,,0:03:05,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,1:02:21,0:00:00
56,0:59:51,1:00:42,0:59:53,,,,,,male,60+,,0:00:51,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00
57,0:59:53,,,,1:02:58,1:00:41,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
58,0:59:53,1:03:55,,,1:01:39,1:03:14,,,male,60+,,0:04:01,0:00:00,0:01:36,0:00:00
60,0:59:54,1:04:35,,1:03:15,1:04:14,,1:00:25,,male,60+,,0:04:41,1:03:15,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
61,0:59:56,1:02:57,,,1:00:42,1:02:17,,,female,60+,,0:03:01,0:00:00,0:01:35,0:00:00
62,0:59:58,,,,1:02:26,1:02:53,,,female,20-39,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:27,0:00:00
66,1:00:05,1:01:08,,,,,,,male,0-19,,0:01:03,0:00:00,0:00:00,0:00:00
67,1:00:06,1:02:51,,,,,1:01:39,1:02:22,male,20-39,,0:02:46,0:00:00,0:00:00,0:00:43
72,1:00:14,1:01:15,,,,,,,male,20-39,,0:01:00,0:00:00,0:00:00,0:00:00
77,1:00:19,,,,,,1:01:40,1:03:06,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:01:26
79,1:00:21,,,,,,,,male,20-39,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
80,1:00:22,1:00:50,,,,,,,male,20-39,,0:00:28,0:00:00,0:00:00,0:00:00
83,1:00:26,1:01:37,,,,,1:00:50,1:00:43,female,20-39,,0:01:11,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
87,1:00:29,1:01:25,,,,,,,female,60+,,0:00:56,0:00:00,0:00:00,0:00:00
95,1:00:39,1:01:21,,,,,,,female,60+,,0:00:42,0:00:00,0:00:00,0:00:00
96,1:00:44,1:02:55,,,1:01:54,1:02:27,,,female,60+,,0:02:11,0:00:00,0:00:34,0:00:00
101,1:00:51,,,,,,1:04:43,1:04:44,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:01
103,1:00:54,1:01:28,,,,,,,male,60+,,0:00:34,0:00:00,0:00:00,0:00:00
104,1:00:55,1:01:28,,,,,1:00:56,,male,60+,,0:00:32,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
105,1:00:58,1:01:30,,,,,,,male,60+,,0:00:32,0:00:00,0:00:00,0:00:00
106,1:00:59,,1:01:49,,,,,1:03:13,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,1:03:13
110,1:01:03,1:01:44,1:01:04,1:01:20,,,,,male,60+,,0:00:41,0:00:16,0:00:00,0:00:00
111,1:01:04,,1:01:08,,1:04:42,1:04:21,,,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
113,1:01:07,1:02:02,1:01:07,,,,,,male,60+,,0:00:55,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00
114,1:01:09,,,,,,1:02:36,1:02:53,female,20-39,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:17
115,1:01:10,1:01:35,,,,,,,male,40-59,,0:00:25,0:00:00,0:00:00,0:00:00
125,1:01:29,1:03:14,,,1:02:36,1:02:34,,,female,60+,,0:01:45,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
126,1:01:30,1:01:55,,,,,,,male,60+,,0:00:26,0:00:00,0:00:00,0:00:00
127,1:01:32,1:02:46,,,1:01:32,,,,male,20-39,,0:01:14,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
128,1:01:35,1:03:20,1:01:36,1:02:56,,,,,female,60+,,0:01:45,0:01:20,0:00:00,0:00:00
129,1:01:37,,1:04:11,1:04:16,,,,,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:06,0:00:00,0:00:00
133,1:01:44,1:03:19,,,1:01:45,,,,male,60+,,0:01:35,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
134,1:01:45,,1:01:45,,,,,,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00
135,1:01:53,1:02:17,,,,,,,male,40-59,,0:00:24,0:00:00,0:00:00,0:00:00
136,1:01:55,1:02:23,,,,,,,male,60+,,0:00:28,0:00:00,0:00:00,0:00:00
137,1:01:59,,,,,,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
138,1:02:02,1:03:18,,,,,,,female,60+,,0:01:16,0:00:00,0:00:00,0:00:00
147,1:02:13,1:02:45,1:02:13,,,,,,male,0-19,,0:00:32,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00
149,1:02:18,1:04:15,1:02:18,1:03:30,,,,,male,60+,,0:01:57,0:01:12,0:00:00,0:00:00
151,1:02:20,1:03:14,1:02:20,,,,,,male,20-39,,0:00:53,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00
158,1:02:29,1:03:05,,,,,1:02:30,,female,60+,,0:00:37,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
159,1:02:30,1:02:56,,,,,,,male,60+,,0:00:26,0:00:00,0:00:00,0:00:00
161,1:02:32,1:03:00,,,,,,,male,60+,,0:00:28,0:00:00,0:00:00,0:00:00
168,1:02:35,1:03:09,,,1:02:35,,,,male,20-39,,0:00:35,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
170,1:02:38,1:03:21,,,,,,,female,60+,,0:00:43,0:00:00,0:00:00,0:00:00
171,1:02:40,1:03:20,1:02:40,,,,,,male,60+,,0:00:41,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00
172,1:02:41,,,,,,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
176,1:02:49,1:03:14,,,,,,,male,20-39,,0:00:24,0:00:00,0:00:00,0:00:00
180,1:02:59,1:03:22,,,,,,,female,60+,,0:00:23,0:00:00,0:00:00,0:00:00
181,1:03:00,,,,1:04:02,1:03:42,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
182,1:03:01,,,,,,1:03:28,1:03:36,male,20-39,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:09
184,1:03:20,,1:04:21,1:04:22,,,,,female,20-39,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
185,1:03:23,1:04:11,,,1:03:23,,,,male,60+,,0:00:48,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
186,1:03:24,1:03:50,1:03:24,,,,,,male,20-39,,0:00:26,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00
187,1:03:25,1:04:23,,,,,,,female,60+,,0:00:58,0:00:00,0:00:00,0:00:00
188,1:03:26,,,,,,1:04:19,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
190,1:03:29,,,,,,1:04:21,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
197,1:03:38,,,,,,,,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
200,1:03:40,1:04:04,,,,,,,male,60+,,0:00:24,0:00:00,0:00:00,0:00:00
202,1:03:42,1:04:34,,,,,1:04:11,1:04:11,female,60+,,0:00:52,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
204,1:03:44,1:04:06,,,,,,,male,60+,,0:00:23,0:00:00,0:00:00,0:00:00
208,1:03:49,1:04:12,,,,,1:03:50,,female,60+,,0:00:23,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
209,1:03:51,1:04:14,,,,,,,male,60+,,0:00:23,0:00:00,0:00:00,0:00:00
216,1:04:08,1:04:35,,,,,1:04:08,,male,60+,,0:00:27,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
218,1:04:10,,,,1:04:11,,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
219,1:04:13,1:04:45,,,1:04:15,,,,male,20-39,,0:00:31,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
221,1:04:18,,,,,,,,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
223,1:04:20,,,,,,,,male,20-39,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
228,1:04:28,,,,,,,,female,20-39,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
230,1:04:31,,,,,,,,female,20-39,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
233,1:04:42,,,,,,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
236,1:04:48,,,,,,,,male,20-39,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
